,drugname_brand,drugname_generic,claim_count,total_spending,user_count,total_spending_per_user,unit_count,unit_cost_wavg,user_count_non_lowincome,out_of_pocket_avg_non_lowincome,user_count_lowincome,out_of_pocket_avg_lowincome
21,ACEON,PERINDOPRIL ERBUMINE,120,11372.18,36.0,315.89388889,4862.0,2.3129352704,,,,
22,ACETAMINOPH-CAFF-DIHYDROCODEIN,DHCODEINE BT/ACETAMINOPHN/CAFF,2058,216222.37,607.0,356.21477759,153118.0,1.4121290116,344.0,141.40755814,263.0,9.4690874525
23,ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,2716272,32946988.04,1212371.0,27.175664908,166178571.79,0.2031160924,677975.0,12.813868904,534396.0,2.9796788711
24,ACETASOL HC,ACETIC ACID/HYDROCORTISONE,1974,360808.84,1530.0,235.82277124,20280.0,17.791362919,999.0,33.35976977,531.0,2.1764030132
25,ACETAZOLAMIDE,ACETAZOLAMIDE,266844,17588084.76,91387.0,192.45718494,15710943.28,1.2311942043,59338.0,31.198135091,32049.0,4.9581122656
26,ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,11,1526.68,,,42.0,36.34952381,,,,
27,ACETIC ACID,ACETIC ACID,53177,1251715.51,26476.0,47.277364783,38303704.8,1.024644145,13733.0,11.037738295,12743.0,1.1807211803
28,ACETIC ACID-ALUMINUM,ACETIC ACID/ALUMINUM ACETATE,5283,319470.77,3868.0,82.593270424,324115.0,0.9856710427,2517.0,12.744239174,1351.0,1.260880829
29,ACETYLCYSTEINE,ACETYLCYSTEINE,12363,1530784.3,5924.0,258.40383187,833929.689,1.5889669925,2983.0,40.217616493,2941.0,1.4273852431
30,ACIPHEX,RABEPRAZOLE SODIUM,284540,153570204.22,68258.0,2249.8491638,15200860.0,10.102731307,44141.0,349.93833352,24117.0,20.436176971
31,ACITRETIN,ACITRETIN,10344,10261958.99,4210.0,2437.5199501,391098.0,26.393541194,2137.0,198.49897988,2073.0,3.4136324168
32,ACLOVATE,ALCLOMETASONE DIPROPIONATE,14,2335.65,13.0,179.66538462,1100.0,2.1785510204,,,,
33,ACTEMRA,TOCILIZUMAB,4052,6774144.99,649.0,10437.819707,88210.9,100.791824,224.0,649.36049107,425.0,30.719223529
34,ACTHIB,HAEMOPH B POLY CONJ-TET TOX/PF,375,14555.67,333.0,43.710720721,368.1,39.542705786,266.0,25.750902256,67.0,4.2276119403
35,ACTIGALL,URSODIOL,833,653386.51,169.0,3866.1923669,103791.0,6.2952135542,127.0,515.9611811,42.0,17.005952381
36,ACTIMMUNE,"INTERFERON GAMMA-1B,RECOMB.",470,14061309.0,63.0,223195.38095,4169.5,3372.4209138,38.0,7337.1602632,25.0,45.1956
37,ACTIQ,FENTANYL CITRATE,547,6082509.15,68.0,89448.663971,60649.0,97.601713404,29.0,1634.3272414,39.0,6.1423076923
38,ACTIVELLA,ESTRADIOL/NORETHINDRONE ACET,4724,830173.68,1056.0,786.14931818,192618.0,4.3217025622,827.0,385.00709794,229.0,21.144541485
39,ACTONEL,RISEDRONATE SODIUM,809719,174460887.45,168023.0,1038.3155131,3567248.584,83.96183462,109117.0,296.61269133,58906.0,22.00029267
40,ACTOPLUS MET,PIOGLITAZONE HCL/METFORMIN HCL,18098,7160852.2,5010.0,1429.3118164,1317182.0,5.4367592785,2481.0,273.92091898,2529.0,14.040968762
41,ACTOPLUS MET XR,PIOGLITAZONE HCL/METFORMIN HCL,5606,2982026.5,1478.0,2017.6092693,420808.0,7.6461297205,1063.0,305.05288805,415.0,20.499060241
42,ACTOS,PIOGLITAZONE HCL,97625,36848869.05,34688.0,1062.294426,4816776.03,8.4938941472,17936.0,161.87915589,16752.0,12.251726958
43,ACULAR,KETOROLAC TROMETHAMINE,995,188135.47,506.0,371.80922925,6307.0,29.829628984,310.0,118.1106129,196.0,6.9362244898
44,ACULAR LS,KETOROLAC TROMETHAMINE,1375,247413.88,772.0,320.48430052,7847.0,31.529741302,532.0,110.46009398,240.0,6.4347916667
45,ACUVAIL,KETOROLAC TROMETHAMINE/PF,5291,1204871.13,3337.0,361.06416841,199594.0,6.0366099682,2704.0,98.038738905,633.0,6.7136650869
46,ACYCLOVIR,ACYCLOVIR,1376080,55344740.36,564855.0,97.980438095,83298819.528,1.1486842008,371233.0,20.6111541,193622.0,3.1162654554
47,ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,364,82624.59,171.0,483.18473684,118705.08,0.7479578603,74.0,100.21459459,97.0,5.2451546392
48,ACZONE,DAPSONE,4799,1605481.41,2705.0,593.52362662,259055.0,6.1974538611,1803.0,106.6695563,902.0,7.6994900222
49,ADACEL TDAP,"DIPH,PERTUSS(ACELL),TET VAC/PF",146032,8217753.66,144427.0,56.899012373,106469.616,79.474870537,117749.0,27.437215773,26678.0,3.2244890921
50,ADALAT CC,NIFEDIPINE,3180,331108.68,646.0,512.55213622,163701.0,2.0742353748,433.0,312.84672055,213.0,19.657370892
51,ADAPALENE,ADAPALENE,8246,1394441.89,4424.0,315.19934222,396914.5,3.5066478547,1953.0,53.216589862,2471.0,2.6862970457
52,ADCIRCA,TADALAFIL,62507,111240216.85,8773.0,12679.837781,3880460.0,28.666760345,5199.0,1506.1721639,3574.0,48.860299384
53,ADDERALL,DEXTROAMPHETAMINE/AMPHETAMINE,5060,1639424.52,1303.0,1258.192264,380151.0,4.312661525,354.0,291.11276836,949.0,9.5457744995
54,ADDERALL XR,DEXTROAMPHETAMINE/AMPHETAMINE,25777,9257638.44,6025.0,1536.5375004,1515924.0,6.1531276892,2129.0,214.92772663,3896.0,16.786416838
55,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,984,1075107.8,454.0,2368.0788546,36172.0,29.722099967,160.0,91.05675,294.0,0.2760204082
56,ADEMPAS,RIOCIGUAT,207,1505605.73,144.0,10455.595347,17478.0,86.151886326,98.0,996.06459184,46.0,48.711304348
57,ADIPEX-P,PHENTERMINE HCL,66,5644.18,27.0,209.0437037,2750.0,2.0542088482,,,,
58,ADOXA,DOXYCYCLINE MONOHYDRATE,24,24296.88,11.0,2208.8072727,823.0,29.522332928,,,,
59,ADRENALIN CHLORIDE,EPINEPHRINE,157,737.16,150.0,4.9144,471.7,1.8645380361,67.0,3.8532835821,83.0,0.9074698795
60,ADRIAMYCIN,DOXORUBICIN HCL,35,5504.67,17.0,323.80411765,1364.0,22.007314737,,,,
61,ADRUCIL,FLUOROURACIL,318,15861.45,101.0,157.04405941,36564.53,0.43153214559999997,58.0,54.33137931,43.0,3.8153488372
62,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,6605423,2262995220.9,1527217.0,1481.7771286,492962519.61,4.5945745536,793147.0,252.66847756,734070.0,20.006693067
63,ADVAIR HFA,FLUTICASONE/SALMETEROL,349136,122441763.28,100671.0,1216.2565513,4972281.8,24.619721689,51315.0,205.34179714,49356.0,15.522879083
64,ADVANCED AM/PM,OM-3/CALCIUM/D3/FA/MV CMB 13,35,3343.33,14.0,238.80928571,9780.0,0.3418537832,14.0,,0.0,
65,ADVICOR,NIACIN/LOVASTATIN,27546,9760806.44,5960.0,1637.7192013,1877393.0,5.212470751,5494.0,372.58028941,466.0,41.083111588
66,ADVOCATE PEN NEEDLES,"PEN NEEDLE, DIABETIC",5921,377265.73,4267.0,88.414748067,1303360.0,0.2909608542,808.0,35.825457921,3459.0,4.0295200925
67,ADVOCATE SYRINGES,"SYRING W-NDL,DISP,INSUL,0.3 ML",1957,128340.81,1283.0,100.03180826,430690.0,0.2980429325,227.0,43.206167401,1056.0,4.8426704545
68,ADVOCATE SYRINGES,"SYRING W-NDL,DISP,INSUL,0.5 ML",2156,138188.7,1287.0,107.37272727,461020.0,0.2998920508,233.0,47.065407725,1054.0,5.7559867173
69,ADVOCATE SYRINGES,"SYRINGE AND NEEDLE,INSULIN,1ML",2740,187539.16,1653.0,113.4538173,626615.0,0.299741517,309.0,51.145145631,1344.0,5.5973660714
70,AFEDITAB CR,NIFEDIPINE,67831,2420909.97,17028.0,142.17230268,2954354.0,0.8127999375,9506.0,44.841962971,7522.0,5.1618665249
71,AFINITOR,EVEROLIMUS,32123,274841481.49,7568.0,36316.26341,943651.0,291.60399231,5000.0,2725.482964,2568.0,74.997449377
72,AFINITOR DISPERZ,EVEROLIMUS,20,245641.66,,,842.0,291.37198773,,,,
73,AGGRENOX,ASPIRIN/DIPYRIDAMOLE,1005862,321026929.58,159850.0,2008.3010921,72358517.711,4.4366156153,95473.0,440.50884082,64377.0,30.006123926
74,AGRYLIN,ANAGRELIDE HCL,287,236612.23,60.0,3943.5371667,34327.0,6.8928898535,43.0,421.12418605,17.0,19.347058824
75,A-HYDROCORT,HYDROCORTISONE SOD SUCCINATE,14,128.48,,,56.0,2.2942857143,,,,
76,AIMSCO MINI ULTRA-THIN II,"PEN NEEDLE, DIABETIC",246,7667.99,175.0,43.817085714,30870.0,0.2483961775,96.0,24.1271875,79.0,6.7932911392
77,AIMSCO ULTRA THIN II,"PEN NEEDLE, DIABETIC",450,14345.2,167.0,85.899401198,51900.0,0.2763653745,61.0,55.829344262,106.0,6.0216037736
78,AKNE-MYCIN,ERYTHROMYCIN BASE,782,122594.57,648.0,189.18915123,23217.0,5.2803794633,446.0,74.186547085,202.0,5.1079207921
79,AK-POLY-BAC,BACITRACIN/POLYMYXIN B SULFATE,10082,217170.51,6428.0,33.785082452,36897.25,5.8858183198,3306.0,11.459854809,3122.0,1.2428731582
80,AKTEN,LIDOCAINE HCL/PF,43,1644.16,38.0,43.267368421,108.0,15.223703704,26.0,32.985,12.0,0.875
81,ALAHIST DHC,PHENYLEPHRINE HCL/DIHYDROCO BT,38,980.64,30.0,32.688,5770.0,0.1699549393,30.0,,0.0,
82,ALA-SCALP,HYDROCORTISONE,78,11345.13,58.0,195.60568966,2932.0,3.8694167804,40.0,43.44375,18.0,10.762222222
83,ALBENZA,ALBENDAZOLE,7193,4333797.32,5619.0,771.27555081,94535.0,45.843310097,2555.0,87.151264188,3064.0,5.5847486945
84,ALBUMIN (HUMAN),ALBUMIN HUMAN,14,3416.06,,,3700.0,1.0765004233,,,,
85,ALBUMINAR-25,ALBUMIN HUMAN,41,24443.92,11.0,2222.1745455,14766.0,1.6554192063,,,,
86,ALBUTEIN,ALBUMIN HUMAN,45,18300.42,15.0,1220.028,14050.0,1.3025209964,,,,
87,ALBUTEROL SULFATE,ALBUTEROL SULFATE,873667,30783079.98,275604.0,111.69315387,103465019.94,0.3840329795,71410.0,24.625587313,204194.0,1.025840916
88,ALCAINE,PROPARACAINE HCL,19,737.08,,,243.0,3.0332510288,,,,
89,ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,34661,1662234.01,22514.0,73.831127743,1502628.048,1.1048602862,17369.0,13.901103115,5145.0,2.0266763848
90,ALCOHOL PADS,ALCOHOL ANTISEPTIC PADS,69014,1404256.14,23846.0,58.888540636,8447971.0,0.166224072,5695.0,24.325215101,18151.0,4.6980700788
91,ALCOHOL PREP PADS,ALCOHOL ANTISEPTIC PADS,232709,3818282.94,83310.0,45.832228304,41250162.01,0.0925640714,20951.0,20.240753186,62359.0,4.8374005356
92,ALCOHOL PREP SWABS,ALCOHOL ANTISEPTIC PADS,7552,27328.45,2432.0,11.237027138,864020.0,0.0316294183,678.0,2.6533038348,1754.0,3.0290079818
93,ALCOHOL SWAB,ALCOHOL ANTISEPTIC PADS,7294,25977.03,2787.0,9.3207857912,833337.0,0.0311722988,407.0,4.3308599509,2380.0,1.8744159664
94,ALCOHOL SWABS,ALCOHOL ANTISEPTIC PADS,110598,392538.67,42494.0,9.2375081188,12940187.0,0.030334853,8420.0,3.342111639,34074.0,2.5350537066
95,ALCOHOL WIPES,ALCOHOL ANTISEPTIC PADS,3257,9744.09,1032.0,9.4419476744,346084.0,0.0281552744,133.0,3.234887218,899.0,2.5582647386
96,ALDACTAZIDE,SPIRONOLACT/HYDROCHLOROTHIAZID,4126,473628.37,1121.0,422.5052364,236600.0,2.0132261544,890.0,216.21920225,231.0,25.026666667
97,ALDACTONE,SPIRONOLACTONE,3606,413467.73,903.0,457.88231451,249678.0,1.5995184226,706.0,209.09635977,197.0,13.587918782
98,ALDARA,IMIQUIMOD,665,284966.11,470.0,606.31087234,11294.75,25.229961708,346.0,109.4367341,124.0,7.4074193548
99,ALDURAZYME,LARONIDASE,38,1408265.56,,,8760.0,160.76090868,,,,
100,ALENDRONATE SODIUM,ALENDRONATE SODIUM,8099826,101120488.06,1633062.0,61.920789327,54896733.548,1.910020358,1048700.0,31.143033947,584362.0,5.7006577943
101,ALFUZOSIN HCL ER,ALFUZOSIN HCL,413547,22895169.52,89732.0,255.15055409,21913231.5,1.0448102791,74635.0,66.142336303,15097.0,7.6881393654
102,ALICLEN,SALICYLIC ACID,26,1180.87,21.0,56.231904762,4482.0,0.2634694333,,,,
103,ALIMTA,PEMETREXED DISODIUM,1685,8228721.97,315.0,26122.926889,6253.0,2055.9633756,125.0,1618.18392,190.0,24.097789474
104,ALINIA,NITAZOXANIDE,4112,1756511.08,3241.0,541.965776,91752.0,24.127483722,2114.0,99.71269631,1127.0,8.2918278616
105,ALKERAN,MELPHALAN,672,170330.41,223.0,763.81349776,19283.0,8.8331903749,191.0,127.71277487,32.0,16.76625
106,ALLEGRA,FEXOFENADINE HCL,123,7009.96,81.0,86.542716049,16177.0,1.1930837016,31.0,25.162580645,50.0,4.6574
107,ALLEGRA-D 12 HOUR,FEXOFENADINE/PSEUDOEPHEDRINE,112,8393.73,87.0,96.479655172,4051.0,2.0720143175,39.0,24.025384615,48.0,8.0302083333
108,ALLEGRA-D 24 HOUR,FEXOFENADINE/PSEUDOEPHEDRINE,174,21571.66,114.0,189.22508772,5291.0,4.077047817,46.0,71.305434783,68.0,5.4977941176
109,ALLOPURINOL,ALLOPURINOL,7634513,62395793.38,1480984.0,42.131308225,447560975.02,0.1414735001,1049156.0,26.031109397,431828.0,6.5349989579
110,ALOCRIL,NEDOCROMIL SODIUM,4132,696433.96,1954.0,356.41451382,25695.0,27.103870792,1275.0,80.965513725,679.0,7.9227098675
111,ALOMIDE,LODOXAMIDE TROMETHAMINE,1160,163085.94,557.0,292.79342908,13715.0,11.891063799,358.0,130.51201117,199.0,6.4550753769
112,ALORA,ESTRADIOL,10567,971457.59,2718.0,357.41633186,118975.0,8.1603753895,1853.0,221.94092283,865.0,17.52249711
113,ALOXI,PALONOSETRON HCL,2247,1720972.36,598.0,2877.8802007,21929.0,78.479290437,271.0,231.12896679,327.0,6.3210397554
114,ALPHAGAN P,BRIMONIDINE TARTRATE,949403,139808585.57,224013.0,624.10925067,8304965.295,16.84505625,142260.0,181.36766941,81753.0,17.08182611
115,ALPRAZOLAM,ALPRAZOLAM,12542947,89920019.08,2458000.0,36.582595232,831852527.97,0.1074762611,1457775.0,20.236615863,1000225.0,7.6671941013
116,ALPRAZOLAM ER,ALPRAZOLAM,57200,2403947.61,14751.0,162.96845027,2851433.111,0.8607323627,8592.0,62.840520251,6159.0,6.1431872057
117,ALPRAZOLAM INTENSOL,ALPRAZOLAM,888,84635.47,362.0,233.79964088,34268.65,2.4697637637,116.0,67.605862069,246.0,1.2908130081
118,ALPRAZOLAM ODT,ALPRAZOLAM,6714,712587.95,3105.0,229.49692432,415975.0,1.6932201681,1788.0,46.134082774,1317.0,4.4333864844
119,ALPRAZOLAM XR,ALPRAZOLAM,18633,916636.37,5732.0,159.91562631,1011079.0,0.9399363244,3273.0,48.875575924,2459.0,5.5512728752
120,ALPROSTADIL,ALPROSTADIL,137,9153.85,64.0,143.02890625,1064.8,8.5967787378,,,,
121,ALREX,LOTEPREDNOL ETABONATE,91361,16432140.17,43680.0,376.19368521,592527.5,27.732282755,26560.0,85.222603916,17120.0,7.4850928738
122,ALSUMA,SUMATRIPTAN SUCCINATE,519,299377.39,209.0,1432.4277033,1738.5,172.20442335,65.0,182.01384615,144.0,8.45875
123,ALTABAX,RETAPAMULIN,4658,692271.32,3113.0,222.38076454,99773.0,6.9384635122,2080.0,71.940105769,1033.0,6.0548983543
124,ALTACE,RAMIPRIL,14297,2898301.32,2849.0,1017.3047806,938707.0,3.0821062158,2266.0,322.65154898,583.0,29.162229846
125,ALTAVERA,LEVONORGESTREL-ETHIN ESTRADIOL,3037,94287.61,651.0,144.8350384,116858.0,0.80685627,76.0,65.896710526,575.0,5.4053391304
126,ALTOPREV,LOVASTATIN,5290,4161458.69,1367.0,3044.2272787,290153.0,14.343889698,979.0,264.80078652,388.0,18.50943299
127,ALUVEA,UREA,72,24767.74,63.0,393.13873016,16669.0,1.4858563801,34.0,76.115,29.0,5.0182758621
128,ALVESCO,CICLESONIDE,24790,6740448.72,6823.0,987.90102887,243202.829,27.714172054,5479.0,252.71973353,1344.0,19.52969494
129,ALYACEN,NORETHINDRONE-ETHINYL ESTRAD,4973,145530.78,941.0,154.65545165,181056.0,0.8044818549,102.0,70.414509804,839.0,6.3454112038
130,ALZ-NAC,ACETYL/METHYL-B12/LMEFOLATE CA,1570,146833.68,473.0,310.43061311,76306.0,1.924274369,,,,
131,AMANTADINE,AMANTADINE HCL,411156,42468608.62,80835.0,525.37401645,37188644.426,1.4012771605,42819.0,82.822963871,38016.0,5.9729671717
132,AMARYL,GLIMEPIRIDE,9446,1259483.96,1988.0,633.54323944,727786.0,1.7270774795,1462.0,218.79254446,526.0,17.507927757
133,AMBIEN,ZOLPIDEM TARTRATE,35748,11070694.07,7353.0,1505.6023487,1332636.5,8.3073582955,4535.0,283.38211246,2818.0,20.234418027
134,AMBIEN CR,ZOLPIDEM TARTRATE,36783,10725219.47,6672.0,1607.496923,1363762.0,7.8832923205,3884.0,325.82134398,2788.0,24.818421808
135,AMBISOME,AMPHOTERICIN B LIPOSOME,332,644585.3,89.0,7242.5314607,20187.0,31.930712835,42.0,538.57333333,47.0,12.571276596
136,AMCINONIDE,AMCINONIDE,6223,1654372.7,3371.0,490.76615248,378622.0,4.3890956658,2554.0,33.72678935,817.0,4.5527417381
137,AMERGE,NARATRIPTAN HCL,865,380504.95,199.0,1912.0851759,11866.0,32.069749409,119.0,314.60722689,80.0,17.879
138,A-METHAPRED,METHYLPREDNISOLONE SOD SUCC,74,1146.57,59.0,19.433389831,214.0,5.3196219434,18.0,5.1433333333,41.0,0.8058536585
139,AMETHIA,L-NORGEST/E.ESTRADION-E.ESTRAD,2313,402496.6,1020.0,394.6045098,209180.0,1.924163878,100.0,106.6842,920.0,3.69075
140,AMETHIA LO,L-NORGEST/E.ESTRADION-E.ESTRAD,271,52984.66,130.0,407.57430769,24749.0,2.1408808437,25.0,119.8004,105.0,3.1341904762
141,AMETHYST,LEVONORGESTREL-ETHIN ESTRADIOL,1935,116247.03,313.0,371.39626198,68746.0,1.6909642743,42.0,116.06809524,271.0,6.2129520295
142,AMICAR,AMINOCAPROIC ACID,77,21041.27,67.0,314.04880597,4957.0,4.7824675242,47.0,84.884042553,20.0,2.581
143,AMIFOSTINE,AMIFOSTINE CRYSTALLINE,37,58826.18,11.0,5347.8345455,148.0,397.47418919,,,,
144,AMIKACIN SULFATE,AMIKACIN SULFATE,14064,967623.73,5120.0,188.98900977,1486987.776,0.6707582295,1020.0,92.119382353,4100.0,1.0207902439
145,AMILORIDE HCL,AMILORIDE HCL,81539,4674505.07,16521.0,282.94322801,5797504.5,0.8062960658,11297.0,75.007884394,5224.0,8.1091519908
146,AMILORIDE-HYDROCHLOROTHIAZIDE,AMILORIDE/HYDROCHLOROTHIAZIDE,118351,1668206.5,23995.0,69.523088143,6644326.0,0.2510723435,19359.0,38.992298672,4636.0,8.9620578085
147,AMINO ACIDS,PARENTERAL AMINO ACID 15% NO.1,17,2604.43,,,149641.6,0.0174044517,,,,
148,AMINOCAPROIC ACID,AMINOCAPROIC ACID,6435,3169848.53,3006.0,1054.5071623,953774.776,3.9120331154,2094.0,108.86934575,912.0,6.0786074561
149,AMINOPHYLLINE,AMINOPHYLLINE,99,652.14,61.0,10.690819672,4264.0,0.465938143,29.0,4.5913793103,32.0,1.7975
150,AMINOSYN,PARENTERAL AMINO ACID 10% NO.2,25,6818.04,,,113276.5,0.0601893597,,,,
151,AMINOSYN II,PARENTERAL AMINO ACID 10% NO.1,96,15919.39,11.0,1447.2172727,353742.52,0.0450027608,,,,
152,AMINOSYN II,PARENTERAL AMINO ACID 15% NO.2,93,13140.03,,,258094.54,0.0509116931,,,,
153,AMIODARONE HCL,AMIODARONE HCL,2093378,42249600.7,465171.0,90.825955831,99799927.913,0.4272641146,323082.0,35.498970757,142089.0,6.0062581199
154,AMITIZA,LUBIPROSTONE,623549,158402294.77,143619.0,1102.9341158,35640456.0,4.4449192082,52941.0,172.63025689,90678.0,11.731795143
155,AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,4321108,25724527.73,848797.0,30.307043651,247928886.76,0.1058519797,457288.0,19.900469026,391509.0,6.5861379177
156,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,34598910,343338130.91,6244693.0,54.980786231,1718799364.1,0.1999121267,4048191.0,28.043993549,2196502.0,6.9437502174
157,AMLODIPINE BESYLATE-BENAZEPRIL,AMLODIPINE BESYLATE/BENAZEPRIL,2827486,201958981.42,480900.0,419.96045211,141871584.0,1.4286926791,331410.0,132.39909164,149490.0,13.441049569
158,AMLODIPINE-ATORVASTATIN,AMLODIPINE/ATORVASTATIN,161305,44832324.42,35452.0,1264.5922492,9254567.69,4.8503955682,29973.0,122.12189804,5479.0,13.886884468
159,AMMONIUM LACTATE,AMMONIUM LACTATE,777046,16692234.27,340546.0,49.016092598,238228521.35,0.0702265946,124889.0,10.810240694,215657.0,1.8211543794
160,AMNESTEEM,ISOTRETINOIN,1647,676585.69,598.0,1131.4141973,81610.0,8.4967209823,337.0,173.52326409,261.0,8.9273563218
161,AMOX TR-POTASSIUM CLAVULANATE,AMOXICILLIN/POTASSIUM CLAV,4622,93332.42,4156.0,22.457271415,89776.0,1.0419613426,1884.0,7.9748779193,2272.0,1.0481073944
162,AMOXAPINE,AMOXAPINE,14285,751150.62,2186.0,343.61876487,1070264.5,0.7291786906,1288.0,86.38734472,898.0,10.786570156
163,AMOXICILLIN,AMOXICILLIN,5825356,32652962.94,4067043.0,8.028674135,142621679.46,0.2449104403,2774345.0,5.3589037413,1292698.0,1.6806464155
164,AMOXICILLIN-CLAVULANATE POT ER,AMOXICILLIN/POTASSIUM CLAV,33480,3277373.92,27268.0,120.19121021,1041885.5,3.1456181317,18988.0,29.353850853,8280.0,2.7012451691
165,AMOXICILLIN-CLAVULANATE POTASS,AMOXICILLIN/POTASSIUM CLAV,3326575,74615226.13,2528809.0,29.506074255,71946368.702,1.1087591416,1591440.0,11.171382339,937369.0,1.8153988344
166,AMPHOTERICIN B,AMPHOTERICIN B,2098,501724.36,916.0,547.73401747,556610.145,0.9013927693,649.0,85.805362096,267.0,8.1195131086
167,AMPICILLIN SODIUM,AMPICILLIN SODIUM,7879,1551399.34,1828.0,848.68672867,2097085.56,1.5115389941,880.0,298.14323864,948.0,7.1762658228
168,AMPICILLIN TRIHYDRATE,AMPICILLIN TRIHYDRATE,178508,1292169.98,126581.0,10.208245945,5612963.84,0.2374970782,69686.0,6.4600714634,56895.0,1.1571617893
169,AMPICILLIN-SULBACTAM,AMPICILLIN SODIUM/SULBACTAM NA,9846,1294514.74,2539.0,509.85220165,2218993.594,0.6425081364,695.0,194.1668777,1844.0,4.6482537961
170,AMPYRA,DALFAMPRIDINE,55758,98939770.28,8904.0,11111.834039,3986895.0,24.816246799,3202.0,753.56055278,5702.0,13.592606103
171,AMRIX,CYCLOBENZAPRINE HCL,6578,5187862.43,2245.0,2310.8518619,259365.8,20.003289593,1091.0,167.39168653,1154.0,11.816395147
172,AMTURNIDE,ALISKIREN/AMLODIPIN/HCTHIAZIDE,2692,424078.44,463.0,915.93615551,115856.0,3.6625205992,329.0,320.32176292,134.0,31.734701493
173,ANADROL-50,OXYMETHOLONE,357,640892.07,69.0,9288.2908696,21974.0,29.16592655,18.0,342.33111111,51.0,11.615294118
174,ANAFRANIL,CLOMIPRAMINE HCL,549,733679.88,93.0,7889.0309677,56636.0,12.9322757,46.0,520.89195652,47.0,39.503829787
175,ANAGRELIDE HCL,ANAGRELIDE HCL,48996,6508269.97,8385.0,776.1800799,5379674.0,1.2459750762,6377.0,90.682284773,2008.0,12.213605578
